ccd,Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,tot_amount,Sales Method
S005,Kohl's,2018-05-12 00:00:00,Midwest,Montana,Billings,Women's Athletic Footwear,45,400,18000,Outlet
R002,Foot Locker,2018-05-12 00:00:00,Midwest,Nebraska,Omaha,Women's Athletic Footwear,20,75,1500,Outlet
M001,West Gear,2018-05-12 00:00:00,West,Nevada,Las Vegas,Men's Athletic Footwear,65,400,26000,Outlet
K006,Amazon,2018-05-12 00:00:00,Northeast,Vermont,Burlington,Men's Street Footwear,44,179,7876,Outlet
T001,Foot Locker,2018-05-13 00:00:00,Midwest,Nebraska,Omaha,Men's Apparel,46,13,598,Online
P007,Amazon,2018-05-13 00:00:00,Southeast,North Carolina,Charlotte,Men's Apparel,65,169,10985,Online
S006,Foot Locker,2018-05-14 00:00:00,Northeast,Maryland,Baltimore,Women's Apparel,62,63,3906,Online
I002,West Gear,2018-05-14 00:00:00,West,Nevada,Las Vegas,Women's Street Footwear,65,400,26000,Outlet
T003,West Gear,2018-05-15 00:00:00,Northeast,New York,Albany,Men's Apparel,59,150,8850,Online
P004,Sports Direct,2018-05-15 00:00:00,Northeast,Rhode Island,Providence,Women's Athletic Footwear,35,100,3500,In-store
K001,West Gear,2018-05-15 00:00:00,West,Utah,Salt Lake City,Men's Apparel,16,114,1824,Outlet
N012,Foot Locker,2018-05-16 00:00:00,South,Mississippi,Jackson,Men's Athletic Footwear,25,375,9375,Online
R010,Sports Direct,2018-05-16 00:00:00,South,Tennessee,Knoxville,Women's Athletic Footwear,38,98,3724,Online
V002,West Gear,2018-05-17 00:00:00,West,Colorado,Denver,Women's Athletic Footwear,58,69,4002,Online
M011,Kohl's,2018-05-18 00:00:00,West,Arizona,Phoenix,Men's Athletic Footwear,45,425,19125,Online
N009,Kohl's,2018-05-18 00:00:00,West,Wyoming,Cheyenne,Women's Street Footwear,39,145,5655,Online
S006,Foot Locker,2018-05-19 00:00:00,Northeast,Delaware,Wilmington,Men's Street Footwear,55,525,28875,In-store
S006,Walmart,2018-05-19 00:00:00,Southeast,Florida,Orlando,Men's Athletic Footwear,60,128,7680,Online
P008,West Gear,2018-05-19 00:00:00,Northeast,New York,Albany,Men's Apparel,50,154,7700,Online
S007,Sports Direct,2018-05-19 00:00:00,Midwest,North Dakota,Fargo,Men's Street Footwear,36,133,4788,Online
R003,Amazon,2018-05-19 00:00:00,Northeast,Vermont,Burlington,Men's Apparel,55,58,3190,Outlet
M005,Kohl's,2018-05-19 00:00:00,West,Wyoming,Cheyenne,Men's Athletic Footwear,44,168,7392,Online
K004,Sports Direct,2018-05-20 00:00:00,South,Alabama,Birmingham,Men's Apparel,40,155,6200,Outlet
R003,Amazon,2018-05-20 00:00:00,Southeast,Kentucky,Louisville,Men's Athletic Footwear,41,59,2419,Online
A005,Walmart,2018-05-20 00:00:00,South,Texas,Houston,Women's Street Footwear,29,374,10846,Outlet
N001,Walmart,2018-05-21 00:00:00,Southeast,Florida,Orlando,Women's Athletic Footwear,82,180,14760,Online
T003,Foot Locker,2018-05-21 00:00:00,Midwest,Nebraska,Omaha,Women's Apparel,55,250,13750,Outlet
R007,Foot Locker,2018-05-21 00:00:00,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,45,60,2700,Online
V003,Foot Locker,2018-05-22 00:00:00,Northeast,Connecticut,Hartford,Men's Athletic Footwear,35,125,4375,In-store
R007,West Gear,2018-05-22 00:00:00,West,Idaho,Boise,Men's Street Footwear,18,203,3654,Online
D004,Kohl's,2018-05-22 00:00:00,Midwest,Montana,Billings,Men's Athletic Footwear,45,600,27000,Outlet
N009,Kohl's,2018-05-22 00:00:00,Northeast,New Jersey,Newark,Men's Athletic Footwear,33,51,1683,Online
S009,Sports Direct,2018-05-22 00:00:00,Midwest,North Dakota,Fargo,Women's Apparel,54,98,5292,Online
R003,West Gear,2018-05-22 00:00:00,South,Oklahoma,Oklahoma City,Men's Street Footwear,43,238,10234,Outlet
M003,Foot Locker,2018-05-22 00:00:00,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32,166,5312,Outlet
N007,Foot Locker,2018-05-22 00:00:00,Southeast,South Carolina,Charleston,Women's Street Footwear,38,196,7448,Online
P002,Foot Locker,2018-05-23 00:00:00,West,California,Los Angeles,Men's Athletic Footwear,41,77,3157,Online
P006,Sports Direct,2018-05-23 00:00:00,Southeast,Georgia,Atlanta,Women's Apparel,70,350,24500,Online
R010,Foot Locker,2018-05-23 00:00:00,Southeast,Virginia,Richmond,Men's Athletic Footwear,50,650,32500,In-store
R003,Kohl's,2018-05-24 00:00:00,Northeast,Delaware,Wilmington,Women's Athletic Footwear,51,84,4284,Online
K003,Kohl's,2018-05-24 00:00:00,Midwest,Montana,Billings,Women's Athletic Footwear,45,300,13500,Outlet
N001,Sports Direct,2018-05-24 00:00:00,Northeast,New Jersey,Newark,Men's Athletic Footwear,50,350,17500,In-store
I001,Foot Locker,2018-05-27 00:00:00,Midwest,Nebraska,Omaha,Women's Athletic Footwear,27,39,1053,Online
R008,West Gear,2018-05-27 00:00:00,West,Nevada,Las Vegas,Women's Apparel,80,500,40000,In-store
A011,Foot Locker,2018-05-28 00:00:00,West,Arizona,Phoenix,Men's Athletic Footwear,50,142,7100,Online
M004,Sports Direct,2018-05-28 00:00:00,Midwest,Michigan,Detroit,Women's Apparel,62,210,13020,Online
M009,West Gear,2018-05-28 00:00:00,West,Utah,Salt Lake City,Men's Athletic Footwear,40,350,14000,In-store
K005,Foot Locker,2018-05-30 00:00:00,Northeast,Connecticut,Hartford,Men's Street Footwear,35,475,16625,In-store
M001,Foot Locker,2018-05-30 00:00:00,Midwest,Minnesota,Minneapolis,Women's Street Footwear,35,100,3500,Outlet
M007,West Gear,2018-05-30 00:00:00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,34,88,2992,Online
S006,Amazon,2018-05-30 00:00:00,Northeast,Vermont,Burlington,Men's Apparel,60,225,13500,In-store
K006,Walmart,2018-05-31 00:00:00,South,Arkansas,Little Rock,Men's Athletic Footwear,20,98,1960,Online
A013,Foot Locker,2018-05-31 00:00:00,Midwest,Iowa,Des Moines,Men's Apparel,28,39,1092,Online
A006,Kohl's,2018-05-31 00:00:00,Midwest,Kansas,Wichita,Men's Street Footwear,25,500,12500,Online
N010,Foot Locker,2018-06-01 00:00:00,Northeast,Maryland,Baltimore,Women's Apparel,61,72,4392,Online
G001,Foot Locker,2018-06-01 00:00:00,Midwest,Minnesota,Minneapolis,Women's Apparel,50,325,16250,Outlet
S003,Foot Locker,2018-06-01 00:00:00,South,Mississippi,Jackson,Women's Apparel,20,160,3200,Outlet
N002,Kohl's,2018-06-01 00:00:00,Midwest,Montana,Billings,Women's Athletic Footwear,43,143,6149,Online
M010,Foot Locker,2018-06-01 00:00:00,Midwest,Nebraska,Omaha,Women's Apparel,37,38,1406,Online
G001,West Gear,2018-06-01 00:00:00,West,Utah,Salt Lake City,Women's Athletic Footwear,23,115,2645,Online
A004,Foot Locker,2018-06-02 00:00:00,West,Arizona,Phoenix,Men's Street Footwear,50,500,25000,Online
S011,Sports Direct,2018-06-02 00:00:00,Northeast,Connecticut,Hartford,Women's Street Footwear,29,111,3219,Outlet
D001,Amazon,2018-06-02 00:00:00,Southeast,Kentucky,Louisville,Women's Athletic Footwear,40,100,4000,Online
N011,West Gear,2018-06-03 00:00:00,West,Colorado,Denver,Women's Street Footwear,65,375,24375,In-store
A004,West Gear,2018-06-04 00:00:00,South,Louisiana,New Orleans,Women's Street Footwear,37,136,5032,Outlet
N007,West Gear,2018-06-04 00:00:00,West,Nevada,Las Vegas,Men's Apparel,63,81,5103,Online
R010,Sports Direct,2018-06-06 00:00:00,Midwest,Michigan,Detroit,Women's Athletic Footwear,35,525,18375,In-store
S006,West Gear,2018-06-07 00:00:00,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,35,325,11375,In-store
R010,West Gear,2018-06-07 00:00:00,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,50,300,15000,In-store
S010,Kohl's,2018-06-07 00:00:00,Midwest,Kansas,Wichita,Women's Apparel,55,450,24750,Online
R006,Foot Locker,2018-06-07 00:00:00,Southeast,Kentucky,Louisville,Women's Athletic Footwear,49,68,3332,Online
N010,Sports Direct,2018-06-07 00:00:00,West,New Mexico,Albuquerque,Men's Street Footwear,23,150,3450,Outlet
I001,West Gear,2018-06-07 00:00:00,West,Utah,Salt Lake City,Men's Athletic Footwear,25,450,11250,In-store
D002,Sports Direct,2018-06-08 00:00:00,Northeast,Connecticut,Hartford,Women's Apparel,56,143,8008,Online
S010,Foot Locker,2018-06-08 00:00:00,Northeast,New York,New York,Men's Apparel,60,825,49500,Outlet
M011,Kohl's,2018-06-08 00:00:00,Northeast,New York,Albany,Men's Apparel,60,155,9300,Online
T003,Foot Locker,2018-06-08 00:00:00,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65,125,8125,Outlet
N004,Sports Direct,2018-06-09 00:00:00,Northeast,Rhode Island,Providence,Men's Street Footwear,26,155,4030,Outlet
N002,Sports Direct,2018-06-09 00:00:00,Northeast,Rhode Island,Providence,Women's Athletic Footwear,48,65,3120,Online
M004,Sports Direct,2018-06-09 00:00:00,Northeast,Rhode Island,Providence,Men's Athletic Footwear,37,102,3774,Outlet
M010,West Gear,2018-06-09 00:00:00,West,Washington,Seattle,Men's Athletic Footwear,60,425,25500,In-store
M006,Kohl's,2018-06-10 00:00:00,Midwest,Kansas,Wichita,Women's Street Footwear,45,350,15750,Online
S009,Amazon,2018-06-10 00:00:00,Northeast,New Hampshire,Manchester,Men's Apparel,65,225,14625,Outlet
A003,Sports Direct,2018-06-11 00:00:00,South,Alabama,Birmingham,Women's Athletic Footwear,26,98,2548,Outlet
N002,West Gear,2018-06-11 00:00:00,Northeast,Maryland,Baltimore,Women's Apparel,34,63,2142,Online
J001,Sports Direct,2018-06-11 00:00:00,South,Texas,Dallas,Women's Apparel,45,161,7245,Online
K002,West Gear,2018-06-12 00:00:00,West,Colorado,Denver,Women's Street Footwear,64,150,9600,Online
M004,Foot Locker,2018-06-12 00:00:00,Midwest,Iowa,Des Moines,Women's Street Footwear,35,200,7000,In-store
B001,Foot Locker,2018-06-12 00:00:00,Northeast,Rhode Island,Providence,Women's Apparel,52,81,4212,Online
R003,Amazon,2018-06-13 00:00:00,Northeast,Vermont,Burlington,Men's Street Footwear,42,215,9030,Outlet
K005,Foot Locker,2018-06-14 00:00:00,Midwest,Missouri,St. Louis,Men's Street Footwear,35,600,21000,In-store
P002,Sports Direct,2018-06-14 00:00:00,Northeast,New Jersey,Newark,Men's Street Footwear,39,149,5811,Online
V002,Foot Locker,2018-06-15 00:00:00,West,Arizona,Phoenix,Women's Apparel,65,94,6110,Online
D003,West Gear,2018-06-15 00:00:00,West,Colorado,Denver,Men's Apparel,68,105,7140,Online
B001,Walmart,2018-06-15 00:00:00,Southeast,Florida,Orlando,Women's Apparel,55,300,16500,In-store
H001,Foot Locker,2018-06-16 00:00:00,South,Louisiana,New Orleans,Women's Athletic Footwear,53,192,10176,Outlet
K003,West Gear,2018-06-16 00:00:00,South,Louisiana,New Orleans,Men's Street Footwear,35,400,14000,Online
P004,Sports Direct,2018-06-16 00:00:00,Midwest,Michigan,Detroit,Men's Apparel,45,450,20250,In-store
N008,Amazon,2018-06-16 00:00:00,Northeast,Vermont,Burlington,Men's Apparel,60,300,18000,In-store
K002,Kohl's,2018-06-16 00:00:00,West,Wyoming,Cheyenne,Men's Athletic Footwear,37,131,4847,Online
R008,West Gear,2018-06-17 00:00:00,West,California,San Francisco,Women's Street Footwear,65,750,48750,Outlet
H001,West Gear,2018-06-18 00:00:00,Northeast,Maryland,Baltimore,Men's Street Footwear,49,118,5782,Online
A012,Sports Direct,2018-06-19 00:00:00,South,Tennessee,Knoxville,Women's Athletic Footwear,23,112,2576,Online
N002,Foot Locker,2018-06-19 00:00:00,Southeast,Virginia,Richmond,Women's Apparel,35,102,3570,Outlet
M001,Foot Locker,2018-06-20 00:00:00,West,Arizona,Phoenix,Women's Apparel,70,425,29750,Online
R002,Walmart,2018-06-20 00:00:00,South,Arkansas,Little Rock,Women's Apparel,65,600,39000,Online
M002,Sports Direct,2018-06-20 00:00:00,Northeast,Connecticut,Hartford,Women's Apparel,29,85,2465,Outlet
N012,West Gear,2018-06-20 00:00:00,West,Idaho,Boise,Women's Athletic Footwear,35,500,17500,Online
N002,West Gear,2018-06-20 00:00:00,Midwest,Indiana,Indianapolis,Women's Apparel,62,120,7440,Online
S009,West Gear,2018-06-20 00:00:00,South,Louisiana,New Orleans,Women's Athletic Footwear,43,96,4128,Outlet
R010,Foot Locker,2018-06-20 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,54,270,14580,Online
M006,Foot Locker,2018-06-21 00:00:00,Midwest,Illinois,Chicago,Women's Street Footwear,50,250,12500,Outlet
M005,Sports Direct,2018-06-21 00:00:00,South,Tennessee,Knoxville,Women's Athletic Footwear,33,108,3564,Online
R011,Kohl's,2018-06-21 00:00:00,West,Wyoming,Cheyenne,Men's Street Footwear,48,208,9984,Online
G001,West Gear,2018-06-22 00:00:00,West,Utah,Salt Lake City,Men's Apparel,40,300,12000,In-store
R009,West Gear,2018-06-22 00:00:00,West,Washington,Seattle,Men's Apparel,72,111,7992,Online
R010,Kohl's,2018-06-23 00:00:00,Midwest,Kansas,Wichita,Women's Athletic Footwear,32,58,1856,Online
H001,Foot Locker,2018-06-23 00:00:00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,28,100,2800,Online
S002,Foot Locker,2018-06-23 00:00:00,Southeast,South Carolina,Charleston,Women's Street Footwear,24,181,4344,Online
R010,Foot Locker,2018-06-24 00:00:00,Northeast,Connecticut,Hartford,Women's Athletic Footwear,55,300,16500,In-store
R001,Foot Locker,2018-06-24 00:00:00,West,Hawaii,Honolulu,Women's Apparel,44,102,4488,Online
D004,West Gear,2018-06-24 00:00:00,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,19,31,589,Online
A011,Kohl's,2018-06-24 00:00:00,Northeast,New Jersey,Newark,Men's Athletic Footwear,45,350,15750,In-store
A007,Sports Direct,2018-06-24 00:00:00,South,Texas,Dallas,Women's Apparel,43,224,9632,Online
R010,Foot Locker,2018-06-25 00:00:00,Midwest,Kansas,Wichita,Women's Athletic Footwear,34,36,1224,Online
A011,Walmart,2018-06-25 00:00:00,South,Texas,Houston,Men's Apparel,35,228,7980,Outlet
A007,Amazon,2018-06-27 00:00:00,West,Alaska,Anchorage,Women's Apparel,52,102,5304,Online
R004,Foot Locker,2018-06-27 00:00:00,West,Arizona,Phoenix,Women's Apparel,38,88,3344,Online
P011,Foot Locker,2018-06-27 00:00:00,Midwest,Illinois,Chicago,Women's Street Footwear,39,54,2106,Online
N004,West Gear,2018-06-28 00:00:00,Southeast,Florida,Miami,Men's Street Footwear,60,299,17940,Online
I001,Foot Locker,2018-06-29 00:00:00,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,In-store
V001,Amazon,2018-06-29 00:00:00,Midwest,Ohio,Columbus,Men's Athletic Footwear,24,140,3360,Online
M001,Kohl's,2018-06-30 00:00:00,Midwest,Kansas,Wichita,Men's Athletic Footwear,35,325,11375,Online
N007,West Gear,2018-06-30 00:00:00,West,Oregon,Portland,Men's Athletic Footwear,85,196,16660,Online
M004,Kohl's,2018-06-30 00:00:00,West,Wyoming,Cheyenne,Women's Street Footwear,38,131,4978,Online
R005,West Gear,2018-07-01 00:00:00,Northeast,Maryland,Baltimore,Women's Athletic Footwear,37,30,1110,Online
S011,West Gear,2018-07-02 00:00:00,West,Utah,Salt Lake City,Men's Street Footwear,28,173,4844,Online
A002,West Gear,2018-07-03 00:00:00,West,Colorado,Denver,Women's Street Footwear,51,102,5202,Online
K001,Sports Direct,2018-07-03 00:00:00,Southeast,Florida,Miami,Men's Apparel,60,700,42000,In-store
V001,Foot Locker,2018-07-05 00:00:00,West,Idaho,Boise,Men's Athletic Footwear,36,169,6084,Online
K003,Sports Direct,2018-07-05 00:00:00,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40,100,4000,In-store
A009,Foot Locker,2018-07-05 00:00:00,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,43,68,2924,Outlet
S002,Sports Direct,2018-07-06 00:00:00,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50,250,12500,Online
K007,Sports Direct,2018-07-06 00:00:00,Northeast,Rhode Island,Providence,Men's Athletic Footwear,40,150,6000,In-store
S012,West Gear,2018-07-07 00:00:00,West,Colorado,Denver,Men's Athletic Footwear,65,375,24375,In-store
P003,West Gear,2018-07-07 00:00:00,South,Louisiana,New Orleans,Women's Street Footwear,95,700,66500,Online
P002,West Gear,2018-07-07 00:00:00,West,Utah,Salt Lake City,Men's Apparel,29,83,2407,Online
R002,West Gear,2018-07-08 00:00:00,West,Colorado,Denver,Women's Apparel,74,133,9842,Online
N001,West Gear,2018-07-08 00:00:00,West,Oregon,Portland,Men's Athletic Footwear,90,700,63000,In-store
P007,West Gear,2018-07-09 00:00:00,West,Oregon,Portland,Men's Athletic Footwear,62,256,15872,Outlet
M006,Sports Direct,2018-07-10 00:00:00,Southeast,Georgia,Atlanta,Men's Apparel,55,400,22000,Online
P005,Walmart,2018-07-10 00:00:00,West,Hawaii,Honolulu,Men's Street Footwear,68,189,12852,Online
M002,Sports Direct,2018-07-10 00:00:00,Northeast,Massachusetts,Boston,Women's Street Footwear,45,225,10125,In-store
M001,Sports Direct,2018-07-10 00:00:00,Northeast,Rhode Island,Providence,Women's Athletic Footwear,48,58,2784,Online
G001,West Gear,2018-07-10 00:00:00,West,Utah,Salt Lake City,Women's Apparel,43,113,4859,Online
M008,Kohl's,2018-07-11 00:00:00,Midwest,Kansas,Wichita,Men's Street Footwear,20,545,10900,Online
S002,Sports Direct,2018-07-11 00:00:00,South,Texas,Dallas,Men's Apparel,55,450,24750,Outlet
V004,Foot Locker,2018-07-11 00:00:00,Southeast,Virginia,Richmond,Women's Street Footwear,60,325,19500,In-store
C001,Foot Locker,2018-07-12 00:00:00,Midwest,Missouri,St. Louis,Men's Apparel,40,375,15000,In-store
R004,Amazon,2018-07-13 00:00:00,Northeast,New Hampshire,Manchester,Women's Apparel,50,325,16250,In-store
N006,Foot Locker,2018-07-14 00:00:00,Midwest,Missouri,St. Louis,Women's Athletic Footwear,23,91,2093,Online
A007,Sports Direct,2018-07-14 00:00:00,Midwest,North Dakota,Fargo,Women's Athletic Footwear,24,22,528,Online
N010,Kohl's,2018-07-15 00:00:00,Midwest,Kansas,Wichita,Women's Athletic Footwear,19,47,893,Online
P003,Kohl's,2018-07-15 00:00:00,Midwest,Montana,Billings,Men's Street Footwear,36,169,6084,Online
S003,Walmart,2018-07-17 00:00:00,West,Hawaii,Honolulu,Women's Street Footwear,65,375,24375,Outlet
P009,Walmart,2018-07-18 00:00:00,South,Arkansas,Little Rock,Men's Street Footwear,40,670,26800,Online
P001,Sports Direct,2018-07-19 00:00:00,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,Online
S011,Amazon,2018-07-20 00:00:00,Northeast,Maine,Portland,Women's Athletic Footwear,42,36,1512,Online
P005,Sports Direct,2018-07-20 00:00:00,Midwest,Michigan,Detroit,Women's Apparel,55,150,8250,Online
D004,Amazon,2018-07-20 00:00:00,Northeast,Vermont,Burlington,Women's Apparel,45,275,12375,In-store
P004,Amazon,2018-07-20 00:00:00,Northeast,Vermont,Burlington,Men's Athletic Footwear,42,70,2940,Online
D003,West Gear,2018-07-22 00:00:00,West,California,San Francisco,Women's Athletic Footwear,60,650,39000,Outlet
M010,Foot Locker,2018-07-22 00:00:00,South,Louisiana,New Orleans,Women's Apparel,87,175,15225,Online
N007,Foot Locker,2018-07-23 00:00:00,Northeast,Connecticut,Hartford,Men's Athletic Footwear,35,225,7875,In-store
M007,Foot Locker,2018-07-25 00:00:00,West,California,Los Angeles,Men's Athletic Footwear,31,91,2821,Outlet
A010,Sports Direct,2018-07-25 00:00:00,Northeast,Rhode Island,Providence,Men's Street Footwear,28,140,3920,Outlet
R007,Sports Direct,2018-07-26 00:00:00,Northeast,Connecticut,Hartford,Men's Apparel,65,150,9750,In-store
S004,West Gear,2018-07-26 00:00:00,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,250,7500,In-store
K004,Sports Direct,2018-07-27 00:00:00,South,Tennessee,Knoxville,Men's Street Footwear,30,650,19500,Outlet
R004,West Gear,2018-07-29 00:00:00,Midwest,Indiana,Indianapolis,Men's Apparel,45,200,9000,In-store
R002,Sports Direct,2018-07-29 00:00:00,Northeast,Massachusetts,Boston,Men's Street Footwear,52,150,7800,Online
P013,Sports Direct,2018-07-29 00:00:00,West,New Mexico,Albuquerque,Women's Athletic Footwear,55,145,7975,Online
R011,Foot Locker,2018-07-29 00:00:00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,35,700,24500,Online
N004,Kohl's,2018-07-30 00:00:00,West,New Mexico,Albuquerque,Men's Apparel,45,78,3510,Outlet
D004,West Gear,2018-07-30 00:00:00,Northeast,New York,Albany,Women's Street Footwear,49,160,7840,Online
R003,Foot Locker,2018-07-30 00:00:00,Southeast,Virginia,Richmond,Men's Apparel,81,104,8424,Online
D001,Walmart,2018-07-31 00:00:00,Southeast,Florida,Orlando,Men's Street Footwear,41,188,7708,Outlet
P004,Amazon,2018-07-31 00:00:00,Southeast,Kentucky,Louisville,Women's Athletic Footwear,38,38,1444,Online
S012,Kohl's,2018-07-31 00:00:00,West,New Mexico,Albuquerque,Men's Street Footwear,35,171,5985,Outlet
J001,Amazon,2018-07-31 00:00:00,Midwest,Ohio,Columbus,Men's Street Footwear,27,231,6237,Online
S009,West Gear,2018-07-31 00:00:00,West,Washington,Seattle,Men's Street Footwear,54,162,8748,Online
P010,Foot Locker,2018-08-01 00:00:00,Northeast,Delaware,Wilmington,Men's Street Footwear,53,182,9646,Online
P002,West Gear,2018-08-01 00:00:00,Southeast,Florida,Miami,Women's Street Footwear,50,215,10750,Online
Y002,West Gear,2018-08-01 00:00:00,Midwest,Indiana,Indianapolis,Women's Apparel,65,350,22750,In-store
S005,Foot Locker,2018-08-01 00:00:00,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,38,52,1976,Online
K007,Sports Direct,2018-08-01 00:00:00,West,New Mexico,Albuquerque,Women's Street Footwear,40,450,18000,Online
T003,Foot Locker,2018-08-01 00:00:00,Northeast,New York,New York,Men's Apparel,60,850,51000,Outlet
S011,West Gear,2018-08-01 00:00:00,West,Oregon,Portland,Men's Apparel,90,400,36000,In-store
D001,West Gear,2018-08-02 00:00:00,South,Louisiana,New Orleans,Women's Athletic Footwear,59,184,10856,Outlet
S011,West Gear,2018-08-02 00:00:00,West,Oregon,Portland,Women's Athletic Footwear,85,550,46750,In-store
R003,Sports Direct,2018-08-03 00:00:00,South,Texas,Dallas,Men's Athletic Footwear,38,169,6422,Online
R003,West Gear,2018-08-04 00:00:00,Northeast,Maine,Portland,Men's Athletic Footwear,45,375,16875,Outlet
G001,Amazon,2018-08-04 00:00:00,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,44,38,1672,Online
S005,Sports Direct,2018-08-04 00:00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,53,250,13250,Online
N008,Sports Direct,2018-08-04 00:00:00,Northeast,Rhode Island,Providence,Women's Athletic Footwear,34,77,2618,Outlet
R002,Sports Direct,2018-08-05 00:00:00,Midwest,Michigan,Detroit,Women's Street Footwear,37,123,4551,Online
M010,Sports Direct,2018-08-05 00:00:00,Midwest,North Dakota,Fargo,Men's Street Footwear,48,160,7680,Online
K004,West Gear,2018-08-06 00:00:00,West,Utah,Salt Lake City,Women's Apparel,38,150,5700,Online
P004,Sports Direct,2018-08-07 00:00:00,South,Alabama,Birmingham,Women's Apparel,50,245,12250,Online
B001,Kohl's,2018-08-08 00:00:00,West,California,Los Angeles,Women's Apparel,49,238,11662,Outlet
R004,Sports Direct,2018-08-08 00:00:00,Southeast,Florida,Miami,Men's Street Footwear,56,270,15120,Online
N009,West Gear,2018-08-08 00:00:00,South,Louisiana,New Orleans,Men's Apparel,64,138,8832,Online
N007,Amazon,2018-08-08 00:00:00,Northeast,Maine,Portland,Women's Athletic Footwear,54,46,2484,Online
M001,Amazon,2018-08-08 00:00:00,Northeast,New Hampshire,Manchester,Men's Apparel,65,250,16250,Outlet
J001,Kohl's,2018-08-08 00:00:00,Northeast,New Jersey,Newark,Women's Street Footwear,50,150,7500,In-store
M003,West Gear,2018-08-08 00:00:00,South,Oklahoma,Oklahoma City,Men's Street Footwear,14,182,2548,Outlet
C001,Foot Locker,2018-08-09 00:00:00,West,Alaska,Anchorage,Women's Apparel,42,123,5166,Online
Y001,Sports Direct,2018-08-10 00:00:00,Northeast,Connecticut,Hartford,Men's Street Footwear,40,520,20800,In-store
M010,Amazon,2018-08-10 00:00:00,Midwest,Ohio,Columbus,Men's Street Footwear,75,825,61875,Online
K002,Foot Locker,2018-08-10 00:00:00,South,Tennessee,Knoxville,Men's Street Footwear,32,119,3808,Online
S009,Amazon,2018-08-11 00:00:00,West,Alaska,Anchorage,Women's Street Footwear,55,325,17875,Outlet
R005,West Gear,2018-08-11 00:00:00,West,California,San Francisco,Men's Athletic Footwear,60,700,42000,Outlet
P012,Foot Locker,2018-08-11 00:00:00,Southeast,Florida,Miami,Women's Apparel,56,278,15568,Online
K007,Walmart,2018-08-11 00:00:00,South,Mississippi,Jackson,Men's Apparel,35,158,5530,Outlet
N008,Kohl's,2018-08-11 00:00:00,South,Oklahoma,Oklahoma City,Men's Street Footwear,55,200,11000,Outlet
T003,West Gear,2018-08-11 00:00:00,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,20,125,2500,Online
M005,West Gear,2018-08-11 00:00:00,West,Oregon,Portland,Women's Apparel,75,250,18750,In-store
P011,West Gear,2018-08-12 00:00:00,West,Idaho,Boise,Women's Apparel,60,825,49500,Online
K005,Kohl's,2018-08-12 00:00:00,West,New Mexico,Albuquerque,Men's Street Footwear,44,165,7260,Online
K003,Amazon,2018-08-14 00:00:00,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45,175,7875,Online
K007,Sports Direct,2018-08-14 00:00:00,Northeast,New Jersey,Newark,Women's Apparel,59,101,5959,Online
V002,Walmart,2018-08-14 00:00:00,South,Texas,Houston,Women's Athletic Footwear,40,750,30000,Outlet
A011,West Gear,2018-08-14 00:00:00,West,Washington,Seattle,Men's Apparel,52,65,3380,Online
S009,Kohl's,2018-08-15 00:00:00,West,Arizona,Phoenix,Women's Street Footwear,45,475,21375,Online
S003,Amazon,2018-08-15 00:00:00,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,55,225,12375,Outlet
N010,Foot Locker,2018-08-17 00:00:00,West,Idaho,Boise,Men's Apparel,39,70,2730,Online
T001,West Gear,2018-08-18 00:00:00,West,Nevada,Las Vegas,Women's Athletic Footwear,46,140,6440,Outlet
M002,Foot Locker,2018-08-18 00:00:00,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,65,350,22750,Outlet
M011,West Gear,2018-08-18 00:00:00,West,Oregon,Portland,Men's Athletic Footwear,42,100,4200,Online
S010,West Gear,2018-08-19 00:00:00,West,Idaho,Boise,Women's Athletic Footwear,33,187,6171,Outlet
V002,West Gear,2018-08-19 00:00:00,South,Louisiana,New Orleans,Men's Street Footwear,69,240,16560,Online
M010,Foot Locker,2018-08-19 00:00:00,Northeast,New York,New York,Men's Street Footwear,50,1220,61000,Outlet
G001,West Gear,2018-08-19 00:00:00,South,Oklahoma,Oklahoma City,Women's Street Footwear,27,107,2889,Outlet
